customer_id,plan_type,contract_type,tenure_months,monthly_revenue,monthly_usage_hrs,total_users,feature_adoption_pct,support_tickets_last_90d,last_login_days_ago,nps_score,payment_delay_count,churned
C-0147,Professional,Annual,25,684.14,148.5,19,23.4,1,87,3,3,0
C-0148,Starter,Annual,21,156.5,42.8,1,66.4,5,50,1,1,1
C-0149,Professional,Annual,31,335.86,132.5,7,77.4,1,55,6,3,0
C-0150,Enterprise,Monthly,1,2162.15,234.0,32,33.6,3,88,6,4,1
C-0151,Starter,Annual,33,161.81,55.0,4,56.8,0,46,8,0,1
C-0152,Enterprise,Monthly,22,2702.95,96.7,38,42.1,14,71,10,4,1
C-0153,Starter,Annual,9,111.31,20.3,1,47.4,11,85,5,3,1
C-0154,Enterprise,Monthly,24,951.7,149.6,73,85.6,8,37,1,1,0
C-0155,Starter,Annual,38,175.61,58.1,5,60.1,5,40,8,3,0
C-0156,Enterprise,Monthly,28,904.81,145.7,33,38.5,11,8,5,0,0
C-0157,Enterprise,Annual,29,3718.11,140.8,84,27.1,8,75,5,1,1
C-0158,Enterprise,Monthly,13,1921.9,267.1,52,55.0,0,85,1,4,0
C-0159,Professional,Monthly,13,762.75,74.2,5,43.7,12,9,5,1,0
C-0160,Enterprise,Monthly,22,1842.7,253.1,26,82.0,8,57,0,5,0
C-0161,Starter,Annual,7,90.47,42.1,2,59.5,14,9,9,4,0
C-0162,Starter,Annual,39,181.96,40.2,2,48.0,9,70,10,5,0
C-0163,Professional,Monthly,9,736.54,87.0,18,74.1,7,1,0,4,0
C-0164,Starter,Monthly,38,141.2,2.7,5,13.6,3,34,0,1,1
C-0165,Professional,Monthly,3,531.72,116.3,4,38.8,7,43,10,4,0
C-0166,Professional,Annual,38,554.18,102.5,6,76.1,2,12,6,5,0
C-0167,Starter,Monthly,9,194.12,6.4,3,87.0,14,54,4,1,1
C-0168,Starter,Annual,47,102.01,32.4,2,43.7,5,6,7,2,0
C-0169,Enterprise,Annual,17,3256.11,222.6,51,60.9,5,49,0,4,1
C-0170,Starter,Monthly,17,161.76,23.4,3,52.1,3,53,6,2,0
C-0171,Enterprise,Monthly,7,1686.54,121.4,83,63.0,1,38,3,4,0
C-0172,Enterprise,Monthly,7,2471.33,137.9,77,42.8,10,24,2,1,0
C-0173,Starter,Annual,18,184.0,58.8,5,88.0,12,32,1,1,1
C-0174,Enterprise,Annual,37,2329.11,259.9,56,51.7,10,69,6,0,0
C-0175,Starter,Monthly,33,80.01,16.2,1,54.0,11,34,10,2,0
C-0176,Professional,Monthly,34,411.72,90.9,19,20.6,5,1,6,4,1
C-0177,Starter,Monthly,24,149.65,36.7,2,90.9,13,88,2,1,1
C-0178,Professional,Monthly,12,482.01,50.0,11,20.4,6,78,9,5,0
C-0179,Starter,Monthly,31,175.25,49.6,1,23.7,4,65,0,0,0
C-0180,Professional,Annual,2,452.3,93.3,14,83.7,0,17,6,5,0
C-0181,Starter,Monthly,24,150.04,18.1,3,69.2,2,3,3,1,0
C-0182,Professional,Monthly,34,458.71,106.2,16,92.1,1,54,6,5,0
C-0183,Professional,Monthly,42,580.85,117.7,6,16.8,1,37,0,4,1
C-0184,Starter,Annual,36,76.01,3.0,1,64.6,14,60,7,4,0
C-0185,Professional,Monthly,48,759.45,38.5,13,28.0,7,78,2,1,1
C-0186,Starter,Annual,31,117.65,12.5,4,31.4,14,86,5,0,1
C-0187,Starter,Annual,34,181.59,12.8,1,89.5,9,67,4,3,0
C-0188,Starter,Monthly,34,84.54,50.0,5,51.6,9,22,0,5,0
C-0189,Starter,Monthly,45,143.88,53.3,5,31.0,9,57,7,0,0
C-0190,Professional,Annual,16,609.48,43.1,13,30.5,1,19,5,2,0
C-0191,Enterprise,Annual,46,3510.71,198.0,47,45.0,14,82,7,4,0
C-0192,Starter,Annual,37,127.52,27.2,4,73.4,2,28,9,2,0
C-0193,Starter,Annual,38,70.26,58.4,1,70.5,10,56,2,1,0
C-0194,Starter,Annual,6,142.82,28.7,4,51.4,13,17,6,5,1
C-0195,Enterprise,Annual,23,2026.65,290.0,89,84.6,14,72,1,5,1
C-0196,Professional,Monthly,9,212.2,91.5,6,12.0,0,12,4,1,0
C-0197,Professional,Monthly,4,437.07,61.6,13,51.5,10,13,4,4,0
C-0198,Enterprise,Annual,26,2670.28,208.1,95,94.2,0,84,8,0,1
C-0199,Starter,Annual,33,154.2,54.2,3,23.3,5,61,10,5,1
C-0200,Enterprise,Annual,26,2578.86,225.9,26,62.6,6,5,5,0,0
C-0201,Professional,Monthly,22,238.37,104.8,11,27.5,7,41,3,3,1
C-0202,Professional,Annual,32,466.57,52.6,7,43.0,10,68,7,2,1
C-0203,Professional,Monthly,46,588.23,76.9,5,31.8,15,61,1,5,0
C-0204,Professional,Annual,2,773.34,73.7,4,50.9,8,50,6,5,0
C-0205,Professional,Monthly,43,363.77,39.7,5,49.1,5,37,3,2,1
C-0206,Professional,Annual,48,230.25,40.0,9,42.9,11,18,5,2,0
C-0207,Professional,Annual,32,324.13,114.8,18,92.4,2,7,10,3,1
C-0208,Professional,Annual,20,687.02,129.3,11,90.5,13,86,1,1,0
C-0209,Starter,Annual,41,168.3,13.9,4,67.0,7,13,9,3,1
C-0210,Enterprise,Monthly,26,3731.75,113.9,84,83.7,1,74,5,0,0
C-0211,Enterprise,Monthly,26,1714.39,54.1,93,43.5,12,18,1,0,1
C-0212,Starter,Monthly,29,126.56,52.5,1,84.0,3,11,3,5,0
C-0213,Enterprise,Annual,13,4469.31,222.0,70,73.6,7,77,6,2,0
C-0214,Professional,Annual,11,659.25,97.4,20,43.4,14,60,0,2,1
C-0215,Professional,Annual,3,484.52,148.1,15,61.8,3,41,4,5,1
C-0216,Enterprise,Annual,1,1008.43,81.8,41,28.4,3,27,2,3,1
C-0217,Starter,Annual,27,52.96,5.7,4,74.4,9,9,5,3,1
C-0218,Professional,Annual,5,515.78,42.5,14,15.4,11,52,1,3,1
C-0219,Enterprise,Monthly,36,3320.14,88.8,98,41.3,4,88,8,2,0
C-0220,Professional,Annual,28,316.98,121.9,7,75.3,5,77,3,1,0
C-0221,Starter,Annual,34,141.87,8.0,2,39.8,13,38,7,1,1
C-0222,Professional,Annual,32,359.65,56.0,14,37.3,14,87,2,4,1
C-0223,Enterprise,Annual,8,4994.58,287.3,97,14.2,1,69,7,2,0
C-0224,Starter,Annual,23,162.53,45.3,3,56.1,0,40,8,0,1
C-0225,Professional,Annual,44,694.22,83.2,18,78.3,8,32,7,3,1
C-0226,Starter,Monthly,47,132.21,26.8,2,80.6,9,49,5,1,0
C-0227,Starter,Annual,29,91.48,35.3,2,26.9,15,73,2,1,0
C-0228,Enterprise,Monthly,11,2908.39,204.0,19,39.3,5,27,7,2,0
C-0229,Enterprise,Monthly,19,4945.16,62.6,31,19.8,9,1,5,5,1
C-0230,Professional,Annual,2,574.59,132.4,16,23.9,2,34,5,4,1
C-0231,Starter,Annual,25,52.41,32.9,3,59.4,2,56,4,3,0
C-0232,Starter,Monthly,14,142.1,39.4,5,39.8,14,38,8,5,1
C-0233,Professional,Annual,24,471.61,51.8,20,31.5,8,33,9,3,1
C-0234,Professional,Annual,21,308.65,82.3,18,50.5,8,30,7,5,1
C-0235,Starter,Monthly,33,118.27,23.4,1,76.8,2,70,9,4,1
C-0236,Starter,Annual,43,130.68,58.5,2,72.1,1,81,0,0,1
C-0237,Starter,Monthly,48,67.0,15.3,3,56.8,9,4,5,5,1
C-0238,Professional,Monthly,12,374.27,36.3,18,18.8,4,24,9,1,1
C-0239,Enterprise,Monthly,27,2212.19,100.5,34,84.5,11,78,7,2,0
C-0240,Enterprise,Annual,2,3195.35,299.4,30,52.8,3,76,6,0,0
C-0241,Professional,Annual,21,579.74,85.6,20,22.4,15,24,7,3,1
C-0242,Professional,Monthly,15,548.63,125.7,10,83.7,12,52,0,4,1
C-0243,Professional,Monthly,21,757.96,146.9,4,68.3,9,35,5,5,1
C-0244,Professional,Annual,11,767.09,136.3,3,68.3,0,56,9,1,0
C-0245,Professional,Monthly,23,288.63,87.2,14,34.6,7,2,5,4,1
C-0246,Starter,Monthly,32,68.16,28.6,3,27.3,14,21,4,5,1
C-0247,Starter,Annual,36,119.05,4.0,5,67.1,9,0,7,2,0
C-0248,Enterprise,Annual,1,2331.18,235.4,53,62.6,15,18,6,4,1
C-0249,Professional,Monthly,30,644.46,146.6,14,17.0,6,5,6,4,1
C-0250,Starter,Annual,35,66.01,24.5,2,57.0,0,23,7,4,0
C-0251,Starter,Annual,36,165.64,8.5,5,24.5,2,28,7,0,0
C-0252,Starter,Annual,45,78.83,4.0,5,41.6,6,4,6,4,1
C-0253,Enterprise,Monthly,28,4069.13,240.7,25,46.0,5,25,8,3,0
C-0254,Professional,Monthly,26,484.88,68.3,14,58.0,14,31,5,2,1
C-0255,Starter,Annual,41,150.36,27.6,2,40.1,0,37,0,1,1
C-0256,Enterprise,Annual,42,3382.37,175.5,18,12.2,10,41,8,3,1
C-0257,Starter,Monthly,24,167.63,38.5,1,54.7,4,36,1,0,0
C-0258,Starter,Monthly,30,160.27,56.3,3,59.3,3,51,6,0,0
C-0259,Starter,Annual,8,62.9,38.8,4,92.4,2,29,10,2,1
C-0260,Starter,Annual,23,56.76,4.4,3,38.5,9,4,10,4,0
C-0261,Starter,Monthly,26,181.12,35.1,1,88.8,12,39,9,2,0
C-0262,Starter,Annual,48,154.4,53.9,5,90.4,7,83,6,1,0
C-0263,Professional,Monthly,11,382.64,62.3,19,87.9,3,62,0,4,0
C-0264,Starter,Monthly,19,180.68,40.7,3,33.1,13,51,3,5,1
C-0265,Enterprise,Annual,17,2299.26,197.9,100,56.6,8,89,8,4,0
C-0266,Professional,Annual,21,262.69,21.3,15,19.3,14,6,9,4,0
C-0267,Professional,Monthly,1,771.44,85.1,6,85.4,13,68,8,0,1
C-0268,Starter,Annual,35,94.11,37.0,2,56.7,11,6,1,3,1
C-0269,Starter,Monthly,10,105.45,15.4,2,83.6,7,53,1,1,1
C-0270,Professional,Monthly,12,662.17,41.0,14,88.9,9,62,4,2,1
C-0271,Starter,Annual,33,142.53,28.2,4,86.8,7,11,5,3,1
C-0272,Professional,Annual,12,429.59,142.7,5,32.5,8,57,1,3,1
C-0273,Enterprise,Monthly,7,2353.91,157.5,46,92.3,4,76,6,5,0
C-0274,Professional,Monthly,6,595.92,129.1,6,81.0,14,71,0,2,0
C-0275,Professional,Monthly,2,561.76,125.4,9,47.8,12,41,2,2,0
C-0276,Enterprise,Annual,1,3761.14,171.5,94,67.4,9,55,4,2,1
C-0277,Starter,Annual,13,102.85,18.4,3,40.0,12,11,8,1,1
C-0278,Enterprise,Annual,6,1672.85,114.0,25,83.4,11,44,1,0,0
C-0279,Starter,Annual,41,104.3,10.2,4,38.8,11,51,8,4,1
C-0280,Professional,Monthly,34,753.6,110.6,17,23.3,2,19,6,1,1
C-0281,Starter,Annual,43,142.75,30.3,1,72.3,7,19,6,3,1
C-0282,Starter,Monthly,27,68.81,27.9,4,47.3,13,78,5,4,0
C-0283,Enterprise,Annual,19,4001.73,184.4,67,64.4,14,37,9,5,1
C-0284,Professional,Monthly,40,316.33,29.5,16,51.6,15,20,6,3,0
C-0285,Professional,Annual,1,745.89,62.9,15,65.2,14,82,8,1,0
C-0286,Starter,Monthly,8,185.29,43.3,2,84.3,15,57,9,0,1
C-0287,Starter,Annual,36,152.09,14.9,2,18.7,10,85,1,4,1
C-0288,Starter,Monthly,1,73.63,26.6,5,15.0,3,76,3,4,1
C-0289,Professional,Annual,42,724.01,144.2,5,19.4,8,85,3,4,1
C-0290,Enterprise,Monthly,16,1892.38,71.6,50,59.3,2,2,10,3,0
C-0291,Starter,Monthly,12,85.35,24.0,1,34.6,1,18,6,5,1
C-0292,Starter,Annual,32,132.83,37.1,2,89.3,10,13,10,4,0
C-0293,Starter,Annual,28,194.25,7.8,2,38.7,13,16,1,0,1
C-0294,Starter,Monthly,31,176.65,53.6,4,88.5,0,50,2,5,1
C-0295,Professional,Monthly,40,486.57,66.0,16,55.1,13,47,0,4,1
C-0296,Professional,Annual,36,757.99,107.6,8,19.7,1,56,3,3,0
C-0297,Starter,Annual,30,62.41,18.3,2,59.2,6,79,0,4,0
C-0298,Starter,Annual,22,176.83,44.9,4,25.1,1,61,0,5,1
C-0299,Professional,Monthly,19,508.2,62.4,17,63.0,5,8,3,1,0
C-0300,Professional,Annual,12,291.61,122.0,9,24.7,14,85,10,1,0
C-0301,Starter,Monthly,19,138.9,51.5,2,56.8,9,62,5,2,1
C-0302,Starter,Monthly,20,104.15,17.6,5,14.4,15,80,9,1,0
C-0303,Starter,Monthly,26,111.66,36.7,5,30.6,11,46,10,5,1
C-0304,Starter,Annual,22,131.62,33.3,3,13.3,15,59,0,4,1
C-0305,Professional,Monthly,10,256.99,134.2,10,75.1,0,36,3,1,1
C-0306,Enterprise,Monthly,27,3238.88,116.2,24,14.1,9,51,0,0,0
C-0307,Professional,Annual,14,396.13,20.9,16,24.1,5,49,0,5,0
C-0308,Starter,Monthly,18,69.57,24.4,2,29.6,12,12,4,0,0
C-0309,Enterprise,Monthly,1,1067.99,71.4,67,20.3,9,40,7,5,1
C-0310,Starter,Monthly,43,145.53,23.0,5,16.3,0,0,5,3,0
C-0311,Enterprise,Monthly,23,1460.65,154.3,38,41.0,11,11,7,3,1
C-0312,Starter,Monthly,42,191.78,10.7,2,78.5,12,61,1,0,1
C-0313,Starter,Monthly,11,94.23,11.7,2,41.1,14,56,7,2,1
C-0314,Starter,Monthly,31,62.82,21.6,2,20.9,15,87,9,4,0
C-0315,Professional,Annual,23,297.93,148.1,13,54.8,3,51,8,1,1
C-0316,Enterprise,Monthly,8,1193.19,114.5,43,19.9,9,89,8,2,0
C-0317,Enterprise,Annual,29,1710.7,278.8,36,47.7,15,33,1,4,0
C-0318,Starter,Monthly,39,98.18,54.5,3,65.6,11,60,0,1,1
C-0319,Enterprise,Annual,6,4719.19,150.8,21,49.2,12,13,3,5,0
C-0320,Starter,Annual,29,81.98,14.9,1,66.5,2,58,2,0,0
C-0321,Enterprise,Monthly,25,2302.16,259.6,43,11.0,2,72,1,5,0
C-0322,Professional,Annual,21,374.46,36.9,15,71.4,14,70,2,2,1
C-0323,Professional,Monthly,18,657.38,42.4,5,81.1,8,60,5,2,0
C-0324,Enterprise,Monthly,34,1412.59,107.2,17,64.8,9,16,1,0,0
C-0325,Professional,Monthly,15,511.11,143.4,14,18.3,10,78,2,1,1
C-0326,Professional,Monthly,10,238.78,118.0,12,46.1,10,24,3,0,0
C-0327,Enterprise,Monthly,21,840.11,58.4,51,64.9,9,13,1,5,0
C-0328,Professional,Annual,42,262.54,49.1,12,64.5,7,80,1,5,1
C-0329,Professional,Annual,44,227.31,82.9,16,59.0,10,57,6,0,1
C-0330,Enterprise,Monthly,1,1952.02,223.9,51,63.9,8,81,4,3,1
C-0331,Professional,Monthly,45,333.74,148.1,18,31.1,15,4,1,5,1
C-0332,Enterprise,Monthly,24,4314.07,69.1,99,51.1,10,6,4,0,0
C-0333,Starter,Monthly,48,67.34,21.0,4,57.3,14,34,10,0,0
C-0334,Starter,Annual,21,158.64,40.1,3,12.8,11,61,9,1,1
C-0335,Professional,Monthly,10,434.34,85.7,15,90.4,5,36,1,3,0
C-0336,Starter,Annual,18,55.29,42.0,4,25.1,15,65,10,4,1
C-0337,Enterprise,Annual,48,3555.74,148.4,35,17.6,3,19,10,0,0
C-0338,Professional,Annual,36,289.11,127.4,8,27.8,2,23,5,3,0
C-0339,Starter,Monthly,45,156.27,14.4,3,90.1,13,15,6,1,0
C-0340,Professional,Annual,17,255.16,56.3,8,52.2,15,24,2,1,0
C-0341,Professional,Annual,17,307.94,122.0,12,71.4,0,77,4,1,1
C-0342,Professional,Annual,17,267.16,104.4,17,15.6,9,18,5,0,0
C-0343,Professional,Annual,9,597.85,130.1,13,29.2,0,73,5,2,0
